year_type,target_proportion,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
wet & mod_wet,30,1050,1050,1050,1050,1050,1500,1500,1500,1050,1050,1050,1050
avg wet & avg dry,70,1050,1050,1050,1050,1050,1500,1500,1050,1050,1050,1050,1050
mod dry,90,750,750,790,890,890,1050,1050,1050,890,790,790,750
dry,100,750,750,790,890,890,1050,1050,890,890,790,790,750
